"V1","V2","V3","V4","V5","V6","V7","V8","V9","gene","TES_end","TES_pos_num","TES_pos","TES_pos_max","TES_type"
"NC_005791.1","RefSeq","gene",25243,26046,".","-",".","gene_id MMP0015; gene_name MMP0015;","MMP0015",25043,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",26061,26552,".","-",".","gene_id MMP0016; gene_name MMP0016;","MMP0016",25861,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",26673,27725,".","-",".","gene_id MMP0017; gene_name MMP0017;","MMP0017",26473,1,"26617","26617","T1"
"NC_005791.1","RefSeq","gene",27798,28640,".","+",".","gene_id MMP0018; gene_name MMP0018;","MMP0018",28840,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",28670,28897,".","-",".","gene_id MMP0019; gene_name MMP0019;","MMP0019",28470,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",28989,29414,".","-",".","gene_id MMP0020; gene_name MMP0020;","MMP0020",28789,3,"28921;28933;28966","28933","T1"
"NC_005791.1","RefSeq","gene",29531,30406,".","+",".","gene_id MMP0021; gene_name MMP0021;","MMP0021",30606,1,"30431","30431","T1"
"NC_005791.1","RefSeq","gene",30411,30746,".","-",".","gene_id MMP0022; gene_name MMP0022;","MMP0022",30211,3,"30349;30384;30398","30398","T1"
"NC_005791.1","RefSeq","gene",30743,31567,".","-",".","gene_id MMP0023; gene_name MMP0023;","MMP0023",30543,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",31747,32862,".","+",".","gene_id MMP0024; gene_name MMP0024;","MMP0024",33062,1,"32880","32880","T1"
"NC_005791.1","RefSeq","gene",32916,33188,".","-",".","gene_id MMP0025; gene_name MMP0025;","MMP0025",32716,2,"32873;32881","32881","T1"
"NC_005791.1","RefSeq","gene",33256,36651,".","-",".","gene_id MMP0026; gene_name MMP0026;","MMP0026",33056,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",36828,37057,".","-",".","gene_id RNA_45; gene_name RNA_45;","RNA_45",36628,6,"36687;36773;36787;36808;36812;36817","36817","T1"
"NC_005791.1","RefSeq","gene",37119,37233,".","-",".","gene_id RNA_48; gene_name RNA_48;","RNA_48",36919,1,"37091","37091","T1"
"NC_005791.1","RefSeq","gene",37295,40251,".","-",".","gene_id RNA_42; gene_name RNA_42;","RNA_42",37095,4,"37099;37117;37278;37285","37117","T1"
"NC_005791.1","RefSeq","gene",40358,40430,".","-",".","gene_id RNA_36; gene_name RNA_36;","RNA_36",40158,3,"40190;40232;40267","40267","T1"
"NC_005791.1","RefSeq","gene",40534,41925,".","-",".","gene_id RNA_44; gene_name RNA_44;","RNA_44",40334,4,"40468;40471;40475;40486","40486","T1"
"NC_005791.1","RefSeq","gene",42181,43188,".","-",".","gene_id MMP0027; gene_name MMP0027;","MMP0027",41981,1,"42158","42158","T1"
"NC_005791.1","RefSeq","gene",43261,44712,".","+",".","gene_id MMP0028; gene_name MMP0028;","MMP0028",44912,1,"44756","44756","T1"
"NC_005791.1","RefSeq","gene",44777,45415,".","-",".","gene_id MMP0029; gene_name MMP0029;","MMP0029",44577,3,"44713;44724;44732","44724","T1"
"NC_005791.1","RefSeq","gene",45639,47657,".","+",".","gene_id MMP0030; gene_name MMP0030;","MMP0030",47857,2,"47747;47803","47803","T1"
"NC_005791.1","RefSeq","gene",47673,48755,".","+",".","gene_id MMP0031; gene_name MMP0031;","MMP0031",48955,2,"48841;48880","48880","T1"
"NC_005791.1","RefSeq","gene",49388,49909,".","-",".","gene_id MMP0032; gene_name MMP0032;","MMP0032",49188,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",50520,51746,".","+",".","gene_id MMP0033; gene_name MMP0033;","MMP0033",51946,1,"51888","51888","T1"
"NC_005791.1","RefSeq","gene",51767,52714,".","+",".","gene_id MMP0034; gene_name MMP0034;","MMP0034",52914,3,"52730;52736;52760","52730","T1"
"NC_005791.1","RefSeq","gene",52740,53789,".","+",".","gene_id MMP0035; gene_name MMP0035;","MMP0035",53989,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",53793,54350,".","+",".","gene_id MMP0036; gene_name MMP0036;","MMP0036",54550,2,"54403;54470","54470","T1"
"NC_005791.1","RefSeq","gene",54361,54948,".","+",".","gene_id MMP0037; gene_name MMP0037;","MMP0037",55148,1,"55060","55060","T1"
"NC_005791.1","RefSeq","gene",54975,55871,".","-",".","gene_id MMP0038; gene_name MMP0038;","MMP0038",54775,3,"54863;54865;54872","54872","T1"
"NC_005791.1","RefSeq","gene",55876,56934,".","-",".","gene_id MMP0039; gene_name MMP0039;","MMP0039",55676,1,"55782","55782","T1"
"NC_005791.1","RefSeq","gene",56946,58595,".","-",".","gene_id MMP0040; gene_name MMP0040;","MMP0040",56746,2,"56837;56861","56837","T1"
"NC_005791.1","RefSeq","gene",58605,59624,".","-",".","gene_id MMP0041; gene_name MMP0041;","MMP0041",58405,1,"58555","58555","T1"
"NC_005791.1","RefSeq","gene",59643,59924,".","-",".","gene_id MMP0042; gene_name MMP0042;","MMP0042",59443,2,"59486;59583","59583","T1"
"NC_005791.1","RefSeq","gene",60428,61495,".","+",".","gene_id MMP0043; gene_name MMP0043;","MMP0043",61695,1,"61525","61525","T2"
"NC_005791.1","RefSeq","gene",61568,62914,".","+",".","gene_id MMP0044; gene_name MMP0044;","MMP0044",63114,2,"63059;63070","63070","T1"
"NC_005791.1","RefSeq","gene",62928,63881,".","+",".","gene_id MMP0045; gene_name MMP0045;","MMP0045",64081,3,"63912;63919;63925","63912","T1"
"NC_005791.1","RefSeq","gene",63932,64384,".","+",".","gene_id MMP0046; gene_name MMP0046;","MMP0046",64584,2,"64455;64480","64455","T1"
"NC_005791.1","RefSeq","gene",64389,65498,".","-",".","gene_id MMP0047; gene_name MMP0047;","MMP0047",64189,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",65556,65828,".","+",".","gene_id MMP0048; gene_name MMP0048;","MMP0048",66028,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",65867,66322,".","+",".","gene_id MMP0049; gene_name MMP0049;","MMP0049",66522,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",66371,66784,".","+",".","gene_id MMP0050; gene_name MMP0050;","MMP0050",66984,2,"66812;66821","66812","T1"
"NC_005791.1","RefSeq","gene",66822,67112,".","+",".","gene_id MMP0051; gene_name MMP0051;","MMP0051",67312,3,"67132;67141;67149","67141","T1"
"NC_005791.1","RefSeq","gene",67114,68025,".","-",".","gene_id MMP0052; gene_name MMP0052;","MMP0052",66914,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",68156,68896,".","-",".","gene_id MMP0053; gene_name MMP0053;","MMP0053",67956,3,"68100;68127;68136","68136","T1"
"NC_005791.1","RefSeq","gene",68893,69501,".","-",".","gene_id MMP0054; gene_name MMP0054;","MMP0054",68693,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",69515,69994,".","-",".","gene_id MMP0055; gene_name MMP0055;","MMP0055",69315,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",70102,71181,".","-",".","gene_id MMP0056; gene_name MMP0056;","MMP0056",69902,3,"70025;70049;70072","70072","T1"
"NC_005791.1","RefSeq","gene",71296,72372,".","-",".","gene_id MMP0057; gene_name MMP0057;","MMP0057",71096,3,"71206;71242;71276","71276","T1"
"NC_005791.1","RefSeq","gene",72602,73564,".","+",".","gene_id MMP0058; gene_name MMP0058;","MMP0058",73764,6,"73588;73595;73599;73603;73607;73648","73588","T1"
"NC_005791.1","RefSeq","gene",73629,74051,".","-",".","gene_id MMP0059; gene_name MMP0059;","MMP0059",73429,1,"73596","73596","T1"
"NC_005791.1","RefSeq","gene",74160,74390,".","-",".","gene_id MMP0060; gene_name MMP0060;","MMP0060",73960,7,"74066;74076;74104;74111;74113;74124;74134","74134","T1"
"NC_005791.1","RefSeq","gene",74409,75092,".","-",".","gene_id MMP0061; gene_name MMP0061;","MMP0061",74209,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",75129,75380,".","-",".","gene_id MMP0062; gene_name MMP0062;","MMP0062",74929,3,"75055;75101;75110","75110","T1"
"NC_005791.1","RefSeq","gene",75475,76359,".","+",".","gene_id MMP0063; gene_name MMP0063;","MMP0063",76559,4,"76379;76388;76401;76430","76379","T1"
"NC_005791.1","RefSeq","gene",76751,77089,".","+",".","gene_id MMP0064; gene_name MMP0064;","MMP0064",77289,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",77116,78342,".","+",".","gene_id MMP0065; gene_name MMP0065;","MMP0065",78542,2,"78406;78414","78406","T1"
"NC_005791.1","RefSeq","gene",78446,78784,".","+",".","gene_id MMP0066; gene_name MMP0066;","MMP0066",78984,7,"78815;78822;78829;78831;78833;78838;78841","78822","T1"
"NC_005791.1","RefSeq","gene",78986,79324,".","+",".","gene_id MMP0067; gene_name MMP0067;","MMP0067",79524,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",79353,80588,".","+",".","gene_id MMP0068; gene_name MMP0068;","MMP0068",80788,2,"80623;80648","80648","T1"
"NC_005791.1","RefSeq","gene",80649,80948,".","+",".","gene_id MMP0069; gene_name MMP0069;","MMP0069",81148,1,"81066","81066","T1"
"NC_005791.1","RefSeq","gene",81202,82140,".","+",".","gene_id MMP0070; gene_name MMP0070;","MMP0070",82340,1,"82260","82260","T1"
"NC_005791.1","RefSeq","gene",82185,82258,".","-",".","gene_id RNA_35; gene_name RNA_35;","RNA_35",81985,1,"82183","82183","T1"
"NC_005791.1","RefSeq","gene",82518,82593,".","+",".","gene_id RNA_1; gene_name RNA_1;","RNA_1",82793,3,"82593;82647;82655","82593","T1"
"NC_005791.1","RefSeq","gene",82661,83734,".","-",".","gene_id MMP0071; gene_name MMP0071;","MMP0071",82461,3,"82516;82526;82574","82574","T1"
"NC_005791.1","RefSeq","gene",83849,84829,".","+",".","gene_id MMP0072; gene_name MMP0072;","MMP0072",85029,1,"84858","84858","T1"
"NC_005791.1","RefSeq","gene",84962,86155,".","+",".","gene_id MMP0073; gene_name MMP0073;","MMP0073",86355,5,"86193;86201;86203;86206;86226","86193","T1"
"NC_005791.1","RefSeq","gene",86225,86581,".","+",".","gene_id MMP0074; gene_name MMP0074;","MMP0074",86781,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",86570,87538,".","-",".","gene_id MMP0075; gene_name MMP0075;","MMP0075",86370,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",87608,87817,".","-",".","gene_id MMP0076; gene_name MMP0076;","MMP0076",87408,4,"87414;87492;87495;87503","87503","T1"
"NC_005791.1","RefSeq","gene",87961,88689,".","+",".","gene_id MMP0077; gene_name MMP0077;","MMP0077",88889,1,"88729","88729","T1"
"NC_005791.1","RefSeq","gene",88705,89550,".","-",".","gene_id MMP0078; gene_name MMP0078;","MMP0078",88505,2,"88550;88596","88550","T1"
"NC_005791.1","RefSeq","gene",89745,90362,".","+",".","gene_id MMP0079; gene_name MMP0079;","MMP0079",90562,3,"90377;90424;90531","90377","T1"
"NC_005791.1","RefSeq","gene",90509,91600,".","+",".","gene_id MMP0080; gene_name MMP0080;","MMP0080",91800,2,"91664;91765","91765","T1"
"NC_005791.1","RefSeq","gene",91628,93160,".","+",".","gene_id MMP0081; gene_name MMP0081;","MMP0081",93360,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",93160,93951,".","+",".","gene_id MMP0082; gene_name MMP0082;","MMP0082",94151,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",93984,95063,".","+",".","gene_id MMP0083; gene_name MMP0083;","MMP0083",95263,5,"95095;95107;95122;95128;95130","95095","T1"
"NC_005791.1","RefSeq","gene",95381,96094,".","-",".","gene_id MMP0084; gene_name MMP0084;","MMP0084",95181,1,"95325","95325","T2"
"NC_005791.1","RefSeq","gene",96131,97177,".","-",".","gene_id MMP0085; gene_name MMP0085;","MMP0085",95931,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",97177,97641,".","-",".","gene_id MMP0086; gene_name MMP0086;","MMP0086",96977,1,"97056","97056","T1"
"NC_005791.1","RefSeq","gene",97761,98987,".","-",".","gene_id MMP0087; gene_name MMP0087;","MMP0087",97561,4,"97665;97676;97728;97736","97728","T1"
"NC_005791.1","RefSeq","gene",98977,100125,".","-",".","gene_id MMP0088; gene_name MMP0088;","MMP0088",98777,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",100130,100735,".","-",".","gene_id MMP0089; gene_name MMP0089;","MMP0089",99930,1,"100124","100124","T1"
"NC_005791.1","RefSeq","gene",100750,101817,".","-",".","gene_id MMP0090; gene_name MMP0090;","MMP0090",100550,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",101838,102422,".","-",".","gene_id MMP0091; gene_name MMP0091;","MMP0091",101638,5,"101750;101758;101779;101782;101827","101827","T1"
"NC_005791.1","RefSeq","gene",102523,102846,".","-",".","gene_id MMP0092; gene_name MMP0092;","MMP0092",102323,5,"102387;102421;102467;102484;102506","102506","T1"
"NC_005791.1","RefSeq","gene",102895,103188,".","-",".","gene_id MMP0093; gene_name MMP0093;","MMP0093",102695,5,"102799;102857;102863;102867;102873","102873","T1"
"NC_005791.1","RefSeq","gene",103274,104686,".","-",".","gene_id MMP0094; gene_name MMP0094;","MMP0094",103074,3,"103187;103224;103264","103224","T1"
"NC_005791.1","RefSeq","gene",104708,105892,".","+",".","gene_id MMP0095; gene_name MMP0095;","MMP0095",106092,3,"105913;105922;105953","105953","T1"
"NC_005791.1","RefSeq","gene",105895,107082,".","-",".","gene_id MMP0096; gene_name MMP0096;","MMP0096",105695,1,"105883","105883","T1"
"NC_005791.1","RefSeq","gene",107207,107755,".","+",".","gene_id MMP0097; gene_name MMP0097;","MMP0097",107955,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",107786,107983,".","-",".","gene_id MMP0098; gene_name MMP0098;","MMP0098",107586,4,"107629;107654;107748;107759","107759","T1"
"NC_005791.1","RefSeq","gene",108126,109277,".","+",".","gene_id MMP0099; gene_name MMP0099;","MMP0099",109477,1,"109313","109313","T2"
"NC_005791.1","RefSeq","gene",109297,110475,".","-",".","gene_id MMP0100; gene_name MMP0100;","MMP0100",109097,2,"109262;109266","109266","T1"
"NC_005791.1","RefSeq","gene",110490,110975,".","-",".","gene_id MMP0101; gene_name MMP0101;","MMP0101",110290,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",111064,111702,".","+",".","gene_id MMP0102; gene_name MMP0102;","MMP0102",111902,1,"111759","111759","T1"
"NC_005791.1","RefSeq","gene",111821,112720,".","+",".","gene_id MMP0103; gene_name MMP0103;","MMP0103",112920,4,"112751;112756;112777;112903","112903","T1"
"NC_005791.1","RefSeq","gene",112878,112951,".","+",".","gene_id RNA_2; gene_name RNA_2;","RNA_2",113151,7,"112954;112961;112973;113005;113033;113074;113082","112954","T1"
"NC_005791.1","RefSeq","gene",112998,113074,".","+",".","gene_id RNA_3; gene_name RNA_3;","RNA_3",113274,2,"113171;113249","113171","T1"
"NC_005791.1","RefSeq","gene",113083,113156,".","+",".","gene_id RNA_4; gene_name RNA_4;","RNA_4",113356,2,"113170;113248","113170","T2"
"NC_005791.1","RefSeq","gene",113173,113246,".","+",".","gene_id RNA_5; gene_name RNA_5;","RNA_5",113446,4,"113249;113403;113419;113425","113403","T1"
"NC_005791.1","RefSeq","gene",113287,113401,".","+",".","gene_id RNA_37; gene_name RNA_37;","RNA_37",113601,2,"113495;113508","113495","T1"
"NC_005791.1","RefSeq","gene",113418,113492,".","+",".","gene_id RNA_6; gene_name RNA_6;","RNA_6",113692,2,"113614;113677","113677","T1"
"NC_005791.1","RefSeq","gene",113526,113599,".","+",".","gene_id RNA_7; gene_name RNA_7;","RNA_7",113799,2,"113704;113707","113707","T1"
"NC_005791.1","RefSeq","gene",113620,113694,".","+",".","gene_id RNA_8; gene_name RNA_8;","RNA_8",113894,3,"113814;113822;113894","113894","T1"
"NC_005791.1","RefSeq","gene",113747,114364,".","+",".","gene_id MMP0104; gene_name MMP0104;","MMP0104",114564,2,"114416;114550","114416","T1"
"NC_005791.1","RefSeq","gene",114487,115014,".","+",".","gene_id MMP0105; gene_name MMP0105;","MMP0105",115214,3,"115028;115031;115084","115028","T1"
"NC_005791.1","RefSeq","gene",115117,115677,".","+",".","gene_id MMP0106; gene_name MMP0106;","MMP0106",115877,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",115687,116211,".","+",".","gene_id MMP0107; gene_name MMP0107;","MMP0107",116411,1,"116250","116250","T1"
"NC_005791.1","RefSeq","gene",116352,117383,".","+",".","gene_id MMP0108; gene_name MMP0108;","MMP0108",117583,1,"117403","117403","T1"
"NC_005791.1","RefSeq","gene",117416,119032,".","+",".","gene_id MMP0109; gene_name MMP0109;","MMP0109",119232,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",119023,119991,".","+",".","gene_id MMP0110; gene_name MMP0110;","MMP0110",120191,1,"120016","120016","T1"
"NC_005791.1","RefSeq","gene",119995,120534,".","-",".","gene_id MMP0111; gene_name MMP0111;","MMP0111",119795,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",120542,121822,".","-",".","gene_id MMP0112; gene_name MMP0112;","MMP0112",120342,1,"120506","120506","T1"
"NC_005791.1","RefSeq","gene",121832,122641,".","-",".","gene_id MMP0113; gene_name MMP0113;","MMP0113",121632,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",122675,123316,".","-",".","gene_id MMP0114; gene_name MMP0114;","MMP0114",122475,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",123500,124021,".","+",".","gene_id MMP0115; gene_name MMP0115;","MMP0115",124221,3,"124108;124115;124121","124108","T1"
"NC_005791.1","RefSeq","gene",124154,125185,".","+",".","gene_id MMP0116; gene_name MMP0116;","MMP0116",125385,2,"125221;125233","125221","T1"
"NC_005791.1","RefSeq","gene",125209,125877,".","-",".","gene_id MMP0117; gene_name MMP0117;","MMP0117",125009,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",125924,126541,".","-",".","gene_id MMP0118; gene_name MMP0118;","MMP0118",125724,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",126554,127261,".","-",".","gene_id MMP0119; gene_name MMP0119;","MMP0119",126354,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",127261,127647,".","-",".","gene_id MMP0120; gene_name MMP0120;","MMP0120",127061,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",127660,127977,".","-",".","gene_id MMP0121; gene_name MMP0121;","MMP0121",127460,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",127981,128889,".","-",".","gene_id MMP0122; gene_name MMP0122;","MMP0122",127781,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",129070,130236,".","+",".","gene_id MMP0123; gene_name MMP0123;","MMP0123",130436,4,"130258;130269;130332;130334","130258","T1"
"NC_005791.1","RefSeq","gene",130264,130938,".","-",".","gene_id MMP0124; gene_name MMP0124;","MMP0124",130064,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",130979,132511,".","-",".","gene_id MMP0125; gene_name MMP0125;","MMP0125",130779,2,"130862;130944","130862","T1"
"NC_005791.1","RefSeq","gene",132540,133565,".","-",".","gene_id MMP0126; gene_name MMP0126;","MMP0126",132340,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",133625,134689,".","-",".","gene_id MMP0127; gene_name MMP0127;","MMP0127",133425,2,"133587;133593","133593","T1"
"NC_005791.1","RefSeq","gene",134996,135565,".","-",".","gene_id MMP0128; gene_name MMP0128;","MMP0128",134796,1,"134963","134963","T1"
"NC_005791.1","RefSeq","gene",135643,136299,".","+",".","gene_id MMP0129; gene_name MMP0129;","MMP0129",136499,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",136315,137160,".","+",".","gene_id MMP0130; gene_name MMP0130;","MMP0130",137360,1,"137203","137203","T1"
"NC_005791.1","RefSeq","gene",137305,138459,".","+",".","gene_id MMP0131; gene_name MMP0131;","MMP0131",138659,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",138509,139372,".","+",".","gene_id MMP0132; gene_name MMP0132;","MMP0132",139572,1,"139417","139417","T1"
"NC_005791.1","RefSeq","gene",139445,140947,".","-",".","gene_id MMP0133; gene_name MMP0133;","MMP0133",139245,2,"139355;139419","139419","T1"
"NC_005791.1","RefSeq","gene",140997,141341,".","+",".","gene_id MMP0134; gene_name MMP0134;","MMP0134",141541,4,"141453;141456;141460;141464","141453","T1"
"NC_005791.1","RefSeq","gene",141612,142826,".","+",".","gene_id MMP0135; gene_name MMP0135;","MMP0135",143026,3,"142865;142900;143008","143008","T1"
"NC_005791.1","RefSeq","gene",142844,143347,".","+",".","gene_id MMP0136; gene_name MMP0136;","MMP0136",143547,4,"143392;143396;143400;143402","143392","T1"
"NC_005791.1","RefSeq","gene",143395,144411,".","+",".","gene_id MMP0137; gene_name MMP0137;","MMP0137",144611,3,"144442;144452;144576","144442","T1"
"NC_005791.1","RefSeq","gene",145038,147068,".","+",".","gene_id MMP0138; gene_name MMP0138;","MMP0138",147268,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",147092,148219,".","+",".","gene_id MMP0139; gene_name MMP0139;","MMP0139",148419,1,"148259","148259","T1"
"NC_005791.1","RefSeq","gene",148268,150583,".","-",".","gene_id MMP0140; gene_name MMP0140;","MMP0140",148068,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",150629,151501,".","-",".","gene_id MMP0141; gene_name MMP0141;","MMP0141",150429,3,"150587;150596;150605","150596","T1"
"NC_005791.1","RefSeq","gene",151531,153036,".","-",".","gene_id MMP0142; gene_name MMP0142;","MMP0142",151331,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",153055,154170,".","-",".","gene_id MMP0143; gene_name MMP0143;","MMP0143",152855,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",154198,154806,".","-",".","gene_id MMP0144; gene_name MMP0144;","MMP0144",153998,1,"154179","154179","T1"
"NC_005791.1","RefSeq","gene",154822,155379,".","-",".","gene_id MMP0145; gene_name MMP0145;","MMP0145",154622,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",155411,156817,".","-",".","gene_id MMP0146; gene_name MMP0146;","MMP0146",155211,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",156832,157773,".","-",".","gene_id MMP0147; gene_name MMP0147;","MMP0147",156632,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",158021,159931,".","+",".","gene_id MMP0148; gene_name MMP0148;","MMP0148",160131,3,"159966;159974;160113","159974","T1"
"NC_005791.1","RefSeq","gene",159965,161017,".","-",".","gene_id MMP0149; gene_name MMP0149;","MMP0149",159765,1,"159790","159790","T2"
"NC_005791.1","RefSeq","gene",161087,161602,".","+",".","gene_id MMP0150; gene_name MMP0150;","MMP0150",161802,4,"161769;161774;161780;161792","161769","T1"
"NC_005791.1","RefSeq","gene",161607,161750,".","+",".","gene_id MMP0151; gene_name MMP0151;","MMP0151",161950,3,"161806;161822;161829","161829","T1"
"NC_005791.1","RefSeq","gene",162132,163472,".","+",".","gene_id MMP0152; gene_name MMP0152;","MMP0152",163672,3,"163486;163489;163494","163489","T1"
"NC_005791.1","RefSeq","gene",163925,165085,".","-",".","gene_id MMP0153; gene_name MMP0153;","MMP0153",163725,1,"163911","163911","T1"
"NC_005791.1","RefSeq","gene",165135,166640,".","-",".","gene_id MMP0154; gene_name MMP0154;","MMP0154",164935,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",166877,167260,".","+",".","gene_id MMP0155; gene_name MMP0155;","MMP0155",167460,7,"167318;167320;167323;167327;167334;167342;167365","167318","T1"
"NC_005791.1","RefSeq","gene",167490,167915,".","+",".","gene_id MMP0156; gene_name MMP0156;","MMP0156",168115,1,"168058","168058","T1"
"NC_005791.1","RefSeq","gene",167941,168300,".","+",".","gene_id MMP0157; gene_name MMP0157;","MMP0157",168500,1,"168387","168387","T1"
"NC_005791.1","RefSeq","gene",168301,168900,".","+",".","gene_id MMP0158; gene_name MMP0158;","MMP0158",169100,3,"169092;169095;169100","169092","T1"
"NC_005791.1","RefSeq","gene",168917,169072,".","+",".","gene_id MMP0159; gene_name MMP0159;","MMP0159",169272,2,"169152;169166","169152","T1"
"NC_005791.1","RefSeq","gene",169144,170445,".","-",".","gene_id MMP0160; gene_name MMP0160;","MMP0160",168944,1,"168962","168962","T2"
"NC_005791.1","RefSeq","gene",170597,171343,".","-",".","gene_id MMP0161; gene_name MMP0161;","MMP0161",170397,0,NA,NA,"T3"
